img_paths,id,label,cell_type,height,width,mean_brightness,mean_luminance
../../data/PBC_dataset_normal_DIB/monocyte/MO_225079.jpg,225079,MO,monocyte,363,360,196.22556371798797,0.7569019960358186
../../data/PBC_dataset_normal_DIB/monocyte/MO_582430.jpg,582430,MO,monocyte,363,360,196.6727272727273,0.7573662794642803
../../data/PBC_dataset_normal_DIB/monocyte/MO_436409.jpg,436409,MO,monocyte,363,360,204.34823487399245,0.7976400263688579
../../data/PBC_dataset_normal_DIB/monocyte/MO_648815.jpg,648815,MO,monocyte,363,360,199.03825885113764,0.7709294556647882
../../data/PBC_dataset_normal_DIB/monocyte/MO_668574.jpg,668574,MO,monocyte,363,360,191.0200183654729,0.7347844538702534
../../data/PBC_dataset_normal_DIB/monocyte/MO_510602.jpg,510602,MO,monocyte,363,360,193.03481532496684,0.7453925436149972
../../data/PBC_dataset_normal_DIB/monocyte/MO_744511.jpg,744511,MO,monocyte,363,360,187.10437965513722,0.7177214517966354
../../data/PBC_dataset_normal_DIB/monocyte/MO_641336.jpg,641336,MO,monocyte,363,360,187.5845143352719,0.7175265721535019
../../data/PBC_dataset_normal_DIB/monocyte/MO_85687.jpg,85687,MO,monocyte,363,360,193.2896209570452,0.7453980570950144
../../data/PBC_dataset_normal_DIB/monocyte/MO_545848.jpg,545848,MO,monocyte,363,360,190.05048719518416,0.7304962652100329
../../data/PBC_dataset_normal_DIB/monocyte/MO_78471.jpg,78471,MO,monocyte,363,360,184.6551168248138,0.7036316891193577
../../data/PBC_dataset_normal_DIB/monocyte/MO_257537.jpg,257537,MO,monocyte,363,360,187.74160799918377,0.7212908115408391
../../data/PBC_dataset_normal_DIB/monocyte/MO_284364.jpg,284364,MO,monocyte,363,360,193.65798642995614,0.7437616892814057
../../data/PBC_dataset_normal_DIB/monocyte/MO_509282.jpg,509282,MO,monocyte,369,366,198.20466381348695,0.7410944534807717
../../data/PBC_dataset_normal_DIB/monocyte/MO_134551.jpg,134551,MO,monocyte,363,360,193.21727119681665,0.743817373704364
../../data/PBC_dataset_normal_DIB/monocyte/MO_412422.jpg,412422,MO,monocyte,363,360,189.04818896031017,0.7278906257164636
../../data/PBC_dataset_normal_DIB/monocyte/MO_255406.jpg,255406,MO,monocyte,363,360,198.0014233241506,0.7657248757419711
../../data/PBC_dataset_normal_DIB/monocyte/MO_663123.jpg,663123,MO,monocyte,363,360,201.7072620140802,0.7841623921358565
../../data/PBC_dataset_normal_DIB/monocyte/MO_929161.jpg,929161,MO,monocyte,363,360,192.97593612896642,0.7448910247573778
../../data/PBC_dataset_normal_DIB/monocyte/MO_960407.jpg,960407,MO,monocyte,363,360,195.90449443934293,0.7535591013852128
../../data/PBC_dataset_normal_DIB/monocyte/MO_623791.jpg,623791,MO,monocyte,363,360,179.4288465462708,0.6791092137056842
../../data/PBC_dataset_normal_DIB/monocyte/MO_997225.jpg,997225,MO,monocyte,363,360,192.49316141210082,0.7412922985559698
../../data/PBC_dataset_normal_DIB/monocyte/MO_749513.jpg,749513,MO,monocyte,363,360,189.9761248852158,0.7309911493695119
../../data/PBC_dataset_normal_DIB/monocyte/MO_662852.jpg,662852,MO,monocyte,363,360,199.70389245995307,0.7725983891439648
../../data/PBC_dataset_normal_DIB/monocyte/MO_889160.jpg,889160,MO,monocyte,363,360,194.7845245383124,0.7528103465732788
