img_path,cell_type,label,label_2,label_3,height,width,mean_brightness,mean_luminance
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_225079.jpg,monocyte,MO,MO,MO,363,360,196.22556371798797,0.7569019960358186
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_582430.jpg,monocyte,MO,MO,MO,363,360,196.6727272727273,0.7573662794642803
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_436409.jpg,monocyte,MO,MO,MO,363,360,204.34823487399245,0.7976400263688579
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_648815.jpg,monocyte,MO,MO,MO,363,360,199.03825885113764,0.7709294556647882
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_668574.jpg,monocyte,MO,MO,MO,363,360,191.0200183654729,0.7347844538702534
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_510602.jpg,monocyte,MO,MO,MO,363,360,193.03481532496684,0.7453925436149972
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_744511.jpg,monocyte,MO,MO,MO,363,360,187.10437965513722,0.7177214517966354
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_641336.jpg,monocyte,MO,MO,MO,363,360,187.5845143352719,0.7175265721535019
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_85687.jpg,monocyte,MO,MO,MO,363,360,193.2896209570452,0.7453980570950144
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_545848.jpg,monocyte,MO,MO,MO,363,360,190.05048719518416,0.7304962652100329
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_78471.jpg,monocyte,MO,MO,MO,363,360,184.6551168248138,0.7036316891193577
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_257537.jpg,monocyte,MO,MO,MO,363,360,187.74160799918377,0.7212908115408391
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_284364.jpg,monocyte,MO,MO,MO,363,360,193.65798642995614,0.743761689281406
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_509282.jpg,monocyte,MO,MO,MO,369,366,198.20466381348695,0.7410944534807717
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_134551.jpg,monocyte,MO,MO,MO,363,360,193.21727119681665,0.743817373704364
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_412422.jpg,monocyte,MO,MO,MO,363,360,189.04818896031017,0.7278906257164636
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_255406.jpg,monocyte,MO,MO,MO,363,360,198.0014233241506,0.7657248757419711
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_663123.jpg,monocyte,MO,MO,MO,363,360,201.7072620140802,0.7841623921358565
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_929161.jpg,monocyte,MO,MO,MO,363,360,192.97593612896642,0.7448910247573778
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_960407.jpg,monocyte,MO,MO,MO,363,360,195.90449443934293,0.7535591013852128
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_623791.jpg,monocyte,MO,MO,MO,363,360,179.4288465462708,0.6791092137056842
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_997225.jpg,monocyte,MO,MO,MO,363,360,192.49316141210082,0.7412922985559698
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_749513.jpg,monocyte,MO,MO,MO,363,360,189.9761248852158,0.7309911493695119
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_662852.jpg,monocyte,MO,MO,MO,363,360,199.70389245995307,0.7725983891439648
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_889160.jpg,monocyte,MO,MO,MO,363,360,194.7845245383124,0.7528103465732788
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_260942.jpg,monocyte,MO,MO,MO,363,360,193.4159754106724,0.746230876168098
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_629706.jpg,monocyte,MO,MO,MO,363,360,188.57613253749616,0.7215060267409689
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_139718.jpg,monocyte,MO,MO,MO,363,360,189.53164983164984,0.7263128615327367
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_558349.jpg,monocyte,MO,MO,MO,363,360,183.54532190592798,0.6967632908226652
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_379315.jpg,monocyte,MO,MO,MO,363,360,202.33702173247627,0.7889064661079
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_198926.jpg,monocyte,MO,MO,MO,363,360,186.0023951637588,0.7175908639784657
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_509901.jpg,monocyte,MO,MO,MO,363,360,192.58865421895726,0.7408685978861701
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_95719.jpg,monocyte,MO,MO,MO,363,360,197.76654423018059,0.7680691188414148
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_973211.jpg,monocyte,MO,MO,MO,363,360,187.7505764717886,0.7213426876549213
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_873686.jpg,monocyte,MO,MO,MO,363,360,197.7504310784614,0.7667029071943439
../../data/PBC_dataset_normal_Barcelona/monocyte/MO_344440.jpg,monocyte,MO,MO,MO,363,360,190.56255739210286,0.7330570304950875
