img_path,label
/content/dataset/LY/95-5-11-1_22_1.jpg,LY
/content/dataset/LY/LY_961250.jpg,LY
/content/dataset/EO/EO_506761.jpg,EO
/content/dataset/SNE/NGS_6190.tiff,SNE
/content/dataset/MO/MON_0112.tiff,MO
/content/dataset/SNE/NGS_3190.tiff,SNE
/content/dataset/LY/LYT_1230.tiff,LY
/content/dataset/SNE/NGS_1562.tiff,SNE
/content/dataset/EO/EO_207951.jpg,EO
/content/dataset/SNE/NGS_2932.tiff,SNE
/content/dataset/EO/EO_294946.jpg,EO
/content/dataset/SNE/NGS_3936.tiff,SNE
/content/dataset/MO/MON_1325.tiff,MO
/content/dataset/SNE/NGS_3957.tiff,SNE
/content/dataset/EO/EO_885096.jpg,EO
/content/dataset/SNE/NGS_6726.tiff,SNE
/content/dataset/SNE/SNE_648057.jpg,SNE
/content/dataset/BNE/NGB_0083.tiff,BNE
/content/dataset/EO/EOS_0366.tiff,EO
/content/dataset/SNE/SNE_323373.jpg,SNE
/content/dataset/EO/EO_295726.jpg,EO
/content/dataset/LY/95-8-5-1_62_1.jpg,LY
/content/dataset/SNE/NGS_4556.tiff,SNE
/content/dataset/MO/MON_0856.tiff,MO
/content/dataset/MY/MY_968216.jpg,MY
/content/dataset/SNE/NGS_5299.tiff,SNE
/content/dataset/ERB/ERB_313180.jpg,ERB
/content/dataset/MO/MO_115081.jpg,MO
/content/dataset/SNE/NGS_4745.tiff,SNE
/content/dataset/BNE/BNE_340421.jpg,BNE
/content/dataset/LY/95-8-10-1_849_1.jpg,LY
/content/dataset/PLT/PLATELET_358188.jpg,PLT
/content/dataset/MO/MO_919303.jpg,MO
/content/dataset/LY/LYT_0792.tiff,LY
/content/dataset/EO/EO_150174.jpg,EO
/content/dataset/PLT/PLATELET_225546.jpg,PLT
/content/dataset/LY/95-5-11-1_97_1.jpg,LY
/content/dataset/EO/EO_551490.jpg,EO
/content/dataset/MO/MO_854196.jpg,MO
/content/dataset/MO/MON_1669.tiff,MO
/content/dataset/SNE/SNE_205547.jpg,SNE
/content/dataset/EO/EO_620469.jpg,EO
/content/dataset/LY/LYT_2198.tiff,LY
/content/dataset/SNE/NGS_0956.tiff,SNE
/content/dataset/PLT/PLATELET_160909.jpg,PLT
/content/dataset/ERB/ERB_930067.jpg,ERB
/content/dataset/EO/95-8-27-1_294_3.jpg,EO
/content/dataset/EO/EO_460233.jpg,EO
/content/dataset/BNE/BNE_503739.jpg,BNE
/content/dataset/MO/95-8-3-2_301_3.jpg,MO
/content/dataset/EO/EO_660594.jpg,EO
/content/dataset/EO/EOS_0416.tiff,EO
/content/dataset/SNE/NGS_4050.tiff,SNE
/content/dataset/LY/95-8-8-1_413_1.jpg,LY
/content/dataset/PLT/PLATELET_660629.jpg,PLT
/content/dataset/MMY/MMY_861946.jpg,MMY
/content/dataset/PLT/PLATELET_673137.jpg,PLT
/content/dataset/SNE/NGS_4386.tiff,SNE
/content/dataset/PMY/PMY_265809.jpg,PMY
/content/dataset/SNE/NGS_7711.tiff,SNE
/content/dataset/SNE/NGS_7751.tiff,SNE
/content/dataset/BNE/BNE_846496.jpg,BNE
/content/dataset/EO/95-8-22-4_112_1.jpg,EO
/content/dataset/MO/MON_1198.tiff,MO
/content/dataset/BNE/BNE_991991.jpg,BNE
/content/dataset/PLT/PLATELET_507413.jpg,PLT
/content/dataset/LY/95-8-22-2_163_1.jpg,LY
/content/dataset/EO/EO_325253.jpg,EO
/content/dataset/ERB/ERB_407648.jpg,ERB
/content/dataset/MO/MO_226318.jpg,MO
/content/dataset/SNE/NGS_3603.tiff,SNE
/content/dataset/SNE/NGS_8195.tiff,SNE
/content/dataset/MO/95-8-13-2_51_1.jpg,MO
/content/dataset/MO/MON_1193.tiff,MO
/content/dataset/BNE/BNE_961507.jpg,BNE
/content/dataset/SNE/NGS_6839.tiff,SNE
/content/dataset/LY/LYT_1748.tiff,LY
/content/dataset/SNE/NGS_4861.tiff,SNE
/content/dataset/MO/95-8-17-1_101_2.jpg,MO
/content/dataset/BNE/BNE_60203.jpg,BNE
/content/dataset/SNE/NGS_7748.tiff,SNE
/content/dataset/PMY/PMY_844933.jpg,PMY
/content/dataset/EO/95-8-27-1_109_6.jpg,EO
/content/dataset/EO/EO_658954.jpg,EO
/content/dataset/SNE/NGS_8273.tiff,SNE
/content/dataset/SNE/NGS_2256.tiff,SNE
/content/dataset/MO/MON_0965.tiff,MO
/content/dataset/SNE/SNE_636414.jpg,SNE
/content/dataset/SNE/NGS_7932.tiff,SNE
/content/dataset/EO/EOS_0242.tiff,EO
/content/dataset/SNE/NGS_6467.tiff,SNE
/content/dataset/SNE/NGS_0666.tiff,SNE
/content/dataset/BA/BA_38346.jpg,BA
/content/dataset/LY/LYT_1434.tiff,LY
/content/dataset/MO/MO_608407.jpg,MO
/content/dataset/LY/LYT_0577.tiff,LY
/content/dataset/SNE/NGS_7096.tiff,SNE
/content/dataset/BNE/BNE_813565.jpg,BNE
/content/dataset/BA/BA_434728.jpg,BA
/content/dataset/PLT/PLATELET_603682.jpg,PLT
/content/dataset/SNE/NGS_6589.tiff,SNE
/content/dataset/MY/MY_975062.jpg,MY
/content/dataset/PMY/PMY_840428.jpg,PMY
/content/dataset/BA/BA_327727.jpg,BA
/content/dataset/BA/BA_333456.jpg,BA
/content/dataset/MO/MO_23775.jpg,MO
/content/dataset/LY/95-9-1-2_250_2.jpg,LY
/content/dataset/EO/95-5-11-1_29_1.jpg,EO
/content/dataset/SNE/NGS_6441.tiff,SNE
/content/dataset/LY/LYT_2791.tiff,LY
/content/dataset/LY/95-9-4-6_88_1.jpg,LY
/content/dataset/ERB/ERB_232331.jpg,ERB
/content/dataset/MY/MY_119173.jpg,MY
/content/dataset/SNE/NGS_1602.tiff,SNE
/content/dataset/PMY/PMY_552383.jpg,PMY
/content/dataset/MY/MY_654868.jpg,MY
/content/dataset/LY/95-8-10-1_1232_1.jpg,LY
/content/dataset/LY/LYT_3840.tiff,LY
/content/dataset/MMY/MMY_405465.jpg,MMY
/content/dataset/EO/EO_519910.jpg,EO
/content/dataset/LY/95-8-22-1_20_1.jpg,LY
/content/dataset/SNE/NGS_1211.tiff,SNE
/content/dataset/BA/BA_464090.jpg,BA
/content/dataset/SNE/NGS_4566.tiff,SNE
/content/dataset/SNE/SNE_158302.jpg,SNE
/content/dataset/MO/MO_756261.jpg,MO
/content/dataset/MY/MY_910258.jpg,MY
/content/dataset/LY/95-9-4-6_107_1.jpg,LY
/content/dataset/LY/95-8-12-4_65_1.jpg,LY
/content/dataset/BNE/BNE_638211.jpg,BNE
/content/dataset/BA/BA_421910.jpg,BA
/content/dataset/EO/EO_722995.jpg,EO
